Bucket label,m/z,Neutral Mass,Matched HMDB IDs,Matched HMDB names,Matched HMDB formulas,HMDB match count,Has Match?,THP1_1,THP1_2,THP1_3,THP1_4,THP1_5,THP1_6,THP1_7,Ecoli_1,Ecoli_2,Ecoli_3,Ecoli_4,Ecoli_5,Ecoli_6,Ecoli_7
108.06628354801107 Da,109.07356,108.06628354801107,,,,,False,,7.677537394942536e-05,6.880045355889491e-05,6.8172726082051e-05,5.7569487033240496e-05,,,,,,,,,
108.29332354801107 Da,109.3006,108.29332354801107,,,,,False,4.7060672838533255e-05,4.048142331250621e-05,3.524065633972819e-05,,3.764967569090879e-05,3.9865930125622714e-05,3.850036919705476e-05,2.7871379585506844e-05,3.0361475090898093e-05,3.249504868478785e-05,3.2721656834189294e-05,3.095164942179412e-05,3.867819489808309e-05,
108.71395354801108 Da,109.72123,108.71395354801108,,,,,False,5.531728025426893e-05,4.558849598857161e-05,3.9294363873909275e-05,4.5580996263165966e-05,4.88819750197532e-05,5.006947130412119e-05,4.252857731873582e-05,5.066321144366106e-05,4.367142975340532e-05,3.778590587036595e-05,5.067467773607616e-05,4.827642289284612e-05,4.824885509563399e-05,3.79003111946468e-05
108.74327854801106 Da,109.75055499999999,108.74327854801106,,,,,False,,,,,,3.2950223081235296e-05,3.025770580072496e-05,,,,,,,
109.01823854801107 Da,110.025515,109.01823854801107,,,,,False,,,,,,,,4.2151687271238635e-05,4.007482573935476e-05,,,,,
109.41524354801108 Da,110.42252,109.41524354801108,,,,,False,,2.9331660818199095e-05,3.177192642667265e-05,,,,,,,,,,,
109.75911354801107 Da,110.76639,109.75911354801107,,,,,False,,,,,,,,4.326072691091815e-05,4.90634921662336e-05,3.3899865861456625e-05,4.2851221027645805e-05,4.099574026639229e-05,3.3233938145007776e-05,4.482642686964022e-05
109.77207854801107 Da,110.779355,109.77207854801107,,,,,False,,,,,3.187316221177255e-05,,,,,,3.0978930043751005e-05,3.1085181716301685e-05,3.4899266360736926e-05,
109.91180354801106 Da,110.91908,109.91180354801106,,,,,False,,,,,,,,3.28157130139455e-05,3.3812162564944884e-05,,3.470035631996464e-05,,,
109.92761854801107 Da,110.934895,109.92761854801107,,,,,False,,,,,,,,2.828354233634258e-05,2.7902438913468767e-05,,,,,
110.04373354801108 Da,111.05101,110.04373354801108,,,,,False,4.9498685617589076e-05,5.805997798504748e-05,6.538252125207826e-05,5.3810282474729976e-05,4.743992074069505e-05,6.350709631484563e-05,5.4623111995320924e-05,,,,,,,
111.02963354801108 Da,112.03691,111.02963354801108,,,,,False,2.9718263099545164e-05,4.352608936782369e-05,,3.322999334038586e-05,4.1482253737450925e-05,3.910995813781933e-05,4.2714872117432055e-05,4.4607056017426424e-05,5.04099510495971e-05,5.315301351177889e-05,5.362567691449807e-05,4.4228737053554905e-05,3.4097672530342e-05,4.3820370542202116e-05
111.07865354801108 Da,112.08593,111.07865354801108,,,,,False,5.5447037976050364e-05,5.190873797776166e-05,4.9757450835817996e-05,5.666172600044062e-05,5.146990342220927e-05,5.840106533300457e-05,5.830760383112101e-05,4.543761067906015e-05,4.576984659000596e-05,4.892615986829312e-05,5.7076183771708016e-05,5.0873152502243424e-05,5.2684560011467584e-05,5.25757473882273e-05
111.22747854801108 Da,112.234755,111.22747854801108,,,,,False,,,6.023512808040243e-05,0.00015148901694528964,,,,,,,,,,
111.38242354801108 Da,112.3897,111.38242354801108,,,,,False,4.896551806669059e-05,4.437983590008921e-05,4.52135293225055e-05,5.118548702382476e-05,4.2137373594030725e-05,5.825997698298727e-05,5.22226725443964e-05,5.050337119902965e-05,4.5669593832080174e-05,4.942833433416115e-05,4.604524809460799e-05,4.822073708492382e-05,4.965701998835622e-05,5.2344931596783906e-05
111.72521354801107 Da,112.73249,111.72521354801107,,,,,False,3.207866465828582e-05,3.706587353036388e-05,,3.05825135686058e-05,,3.144452107617003e-05,,,,,,,,
111.77561354801107 Da,112.78289,111.77561354801107,,,,,False,,,,,,,,2.8126276811162233e-05,2.7295152124360562e-05,,,,,
111.88845354801107 Da,112.89573,111.88845354801107,,,,,False,7.644649028869466e-05,8.3351608379243e-05,9.725531093724828e-05,0.00010261347675532444,9.800766790033473e-05,8.928519616500476e-05,8.047325438351587e-05,0.00044209731125620773,0.0004254568053383645,0.0004677382419375974,0.0004866476137210763,0.0004743005543468008,0.0004881610268703626,0.0004606570217945225
111.93033354801108 Da,112.93761,111.93033354801108,,,,,False,3.9269498693963836e-05,3.1882942543910675e-05,3.717965123070624e-05,3.9421300651159676e-05,,3.6103607151460486e-05,2.9966495107724608e-05,,,,,,,
112.01365354801108 Da,113.02093,112.01365354801108,['HMDB0304825'],['Sodium lactate'],['C3H5NaO3'],1,True,0.0006181724336073617,0.0005875265125540472,0.0005572768715347245,0.0004813653379934857,0.0004635707945451095,0.0004287263284206763,0.00042782662460036917,0.0005071968916065216,0.0004911170066634921,0.0004033233537021575,0.00036049549136989395,0.0003721054008956341,0.0003202118258679137,0.00031720194744884716
112.05003354801107 Da,113.05731,112.05003354801107,,,,,False,3.0918194355008884e-05,,3.207510176534908e-05,3.426586187685127e-05,3.911173884520515e-05,3.309160866794505e-05,,3.529566617811764e-05,,,3.81186914961679e-05,,,4.1011124928775655e-05
112.05432354801107 Da,113.0616,112.05432354801107,,,,,False,4.047083425377584e-05,4.2254534989799944e-05,3.9468812905901585e-05,3.1032150956785216e-05,3.145097494424634e-05,4.0381437629232276e-05,,,3.845841087885197e-05,3.2771317986847664e-05,3.9270851580875235e-05,,,
112.06078854801108 Da,113.068065,112.06078854801108,,,,,False,3.148553331171561e-05,3.978272834840798e-05,,,,,,,,,,,,
112.71409354801106 Da,113.72137,112.71409354801106,,,,,False,,7.520949872131491e-05,,5.496498758248811e-05,6.066983785033363e-05,5.5393921715465856e-05,,,,,,,,
112.75053354801108 Da,113.75781,112.75053354801108,,,,,False,4.372662026498237e-05,5.627376137363722e-05,4.0994448985688906e-05,4.438404465674629e-05,4.634621609932065e-05,6.271149276804862e-05,5.006851386443373e-05,4.1165445138281666e-05,2.8525998614008402e-05,2.8814777074790015e-05,,,3.070535875199215e-05,
112.98792354801107 Da,113.9952,112.98792354801107,,,,,False,2.9746489616945673e-05,5.0915299423766525e-05,5.208662599527451e-05,3.3852665752528864e-05,4.0553207498646564e-05,,3.462824848215856e-05,0.0001290115505899576,0.00013584157371379773,0.00013425287841488552,0.00013436215661252786,0.00013492183535236178,0.00012185385921317516,0.00012132939797891979
113.27763354801107 Da,114.28491,113.27763354801107,,,,,False,3.111039681014402e-05,2.972269514264399e-05,3.5590139966897125e-05,4.456517773934477e-05,3.630239515749113e-05,3.442332812902831e-05,,5.476000536763558e-05,3.917118100456035e-05,5.3455465053406404e-05,6.302912062347908e-05,5.154469682873502e-05,4.3311338622223014e-05,5.381480874936435e-05
113.36692354801107 Da,114.3742,113.36692354801107,,,,,False,,,,,,,,3.188121443640831e-05,4.02033900421689e-05,3.971165626519064e-05,3.313316273642249e-05,3.0179529707524487e-05,3.760716426026866e-05,3.808570020928747e-05
113.88550354801107 Da,114.89278,113.88550354801107,,,,,False,4.0758529404594285e-05,3.0308941317226178e-05,3.439720136966186e-05,3.3559672137100245e-05,3.697474216762969e-05,,3.7102872332461614e-05,0.00014892372485302845,0.00015097480016962108,0.00016103513134367665,0.00017350107608050288,0.00016522410112632726,0.0001758495559413789,0.0001827779452068792
113.88657354801107 Da,114.89385,113.88657354801107,,,,,False,,,,,,,,6.0829075918858626e-05,6.852759625192171e-05,8.20911893930883e-05,7.970124768201051e-05,8.656088935820501e-05,7.3264100839861e-05,8.660731922877172e-05
113.97194354801107 Da,114.97922,113.97194354801107,,,,,False,,,,,,,,,,2.7971211098090224e-05,4.678604338094619e-05,6.066812511939326e-05,6.371900234803552e-05,3.9177186740197945e-05
114.02930354801107 Da,115.03658,114.02930354801107,,,,,False,0.0006277233415307658,0.0006110587468292358,0.0006359767098967658,0.000608967521140137,0.0006410077432806977,0.0006485960252862104,0.0006519035331355117,0.0004309721146190901,0.00043795988097155355,0.0004341796342309136,0.0004261424649487388,0.0004290914913736749,0.00039137740247724716,0.00041649672163664
114.64935354801108 Da,115.65663,114.64935354801108,,,,,False,,,,,,,,,,3.332416775510478e-05,3.1447583010930297e-05,,,3.215340100730338e-05
115.06334354801108 Da,116.07062,115.06334354801108,"['HMDB0000162', 'HMDB0003411', 'HMDB0012880', 'HMDB0030409', 'HMDB0034208', 'HMDB0246731', 'HMDB0246801', 'HMDB0251510', 'HMDB0251528', 'HMDB0254987', 'HMDB0255080']","['L-Proline', 'D-Proline', 'Acetamidopropanal', '4-Amino-2-methylenebutanoic acid', 'Pterolactam', '5-(Hydroxymethyl)pyrrolidin-2-one', '5-Hydroxy-1-methylpyrrolidin-2-one', 'DL-Allylglycine', 'DL-Proline', 'N-(2-Hydroxyethyl)acrylamide', 'N-Allylglycine']","['C5H9NO2', 'C5H9NO2', 'C5H9NO2', 'C5H9NO2', 'C5H9NO2', 'C5H9NO2', 'C5H9NO2', 'C5H9NO2', 'C5H9NO2', 'C5H9NO2', 'C5H9NO2']",11,True,,,,,3.533660091123709e-05,,,7.063638994662891e-05,5.5522592628637185e-05,4.968037728551741e-05,4.402953236182641e-05,5.030535613932136e-05,6.216200937660955e-05,6.440775593589123e-05
115.36856354801107 Da,116.37584,115.36856354801107,,,,,False,,,,,,,,2.8415019139279196e-05,,,,,,3.3951067432147045e-05
115.88363354801108 Da,116.89091,115.88363354801108,,,,,False,,,,,,,,3.4099999687229725e-05,2.868366319976498e-05,,,3.2058688965514824e-05,3.6781651631510625e-05,
116.05447854801108 Da,117.061755,116.05447854801108,,,,,False,3.1646794261043554e-05,,3.842602246850978e-05,3.56953643598524e-05,,,,2.928149529002858e-05,2.9148603526377318e-05,,,4.103205915642325e-05,,
116.07876354801107 Da,117.08604,116.07876354801107,,,,,False,3.788265452974352e-05,4.2448619533776674e-05,3.8594664665591016e-05,3.8199323116549045e-05,3.2491338852363755e-05,4.489814732883814e-05,3.988557346367766e-05,2.8060247715562353e-05,2.935052046822039e-05,3.003196227656024e-05,3.6303155111872376e-05,3.4251270300578064e-05,,
116.09443354801107 Da,117.10171,116.09443354801107,,,,,False,,,,,,,,,3.368774951504692e-05,,3.0269177607506977e-05,,,
116.10719854801107 Da,117.114475,116.10719854801107,,,,,False,0.00010743429132923348,0.0001306340697584189,,,,,,,,,,,,
116.71429354801107 Da,117.72157,116.71429354801107,,,,,False,6.102109641554903e-05,7.008720741208193e-05,4.22501892344414e-05,6.737267691571245e-05,6.833474993274427e-05,6.715681612201722e-05,5.637633186939388e-05,,,5.4777156953349224e-05,5.6145039372746917e-05,,,
116.73859354801107 Da,117.74587,116.73859354801107,,,,,False,3.234183129315424e-05,3.486565373148728e-05,,,,,3.2480283746909575e-05,,,,,3.2244355677133326e-05,,
